,genes,cluster,p_val,avg_logFC,scores,p_val_adj
277,TOMM7,7,0.16436296178418575,1.3110358715057373,1.3905465602874756,0.9978845770662559
278,PEBP1,7,0.16570484351909698,2.2843542098999023,1.3861377239227295,0.9978845770662559
279,RPS9,7,0.18303500164429043,1.0405124425888062,1.3314682245254517,0.9978845770662559
280,PDAP1,7,0.19158760163725574,3.0406858921051025,1.3058969974517822,0.9978845770662559
281,RPS24,7,0.1952113272488173,0.6981858015060425,1.2953157424926758,0.9978845770662559
282,CCL5,8,0.001690487490180593,3.17134952545166,3.1398251056671143,0.9772915197977046
283,S100A4,8,0.04578595894850439,1.751706600189209,1.997361183166504,0.9772915197977046
284,LINC00861,8,0.08305990154989298,3.390796661376953,1.733201265335083,0.9772915197977046
285,SH3BGRL3,8,0.08896591707447661,1.596266508102417,1.7008779048919678,0.9772915197977046
286,TRBC2,8,0.09044105725491426,1.3672783374786377,1.6930756568908691,0.9772915197977046
287,CAPZB,8,0.09476440305372015,1.8660149574279785,1.6707837581634521,0.9772915197977046
288,BUB3,8,0.09609321871292478,2.9893858432769775,1.6640961170196533,0.9772915197977046
289,NKG7,8,0.0994805480571898,1.9094496965408325,1.6473771333694458,0.9772915197977046
290,MT-ND5,8,0.10873437765345195,1.4446135759353638,1.603907823562622,0.9772915197977046
291,SNRPD2,8,0.11146399591165203,1.9883472919464111,1.5916472673416138,0.9772915197977046
292,CD2,8,0.11604695960120913,2.5978944301605225,1.5715844631195068,0.9772915197977046
293,RAB37,8,0.1194480162666485,4.95005464553833,1.557094693183899,0.9772915197977046
294,COPZ1,8,0.12593153532395085,4.363524436950684,1.5303442478179932,0.9772915197977046
295,TRAF3IP3,8,0.12759449669318734,1.9783626794815063,1.5236567258834839,0.9772915197977046
296,RPL26,8,0.12983828895487812,0.9773383736610413,1.5147398710250854,0.9772915197977046
297,ARHGDIB,8,0.1329733700970638,1.2167590856552124,1.5024793148040771,0.9772915197977046
298,TRAPPC1,8,0.13412781942505164,3.9734294414520264,1.498020887374878,0.9772915197977046
299,ELOB,8,0.14061633701426077,2.2937190532684326,1.4734997749328613,0.9772915197977046
300,GBP2,8,0.1409169064770942,3.780144214630127,1.4723851680755615,0.9772915197977046
301,PTK2B,8,0.1652358449011675,3.2531306743621826,1.3876756429672241,0.9772915197977046
302,GNLY,8,0.17459653420399535,1.9480931758880615,1.3575814962387085,0.9772915197977046
303,CORO1B,8,0.18178162481957394,1.6701147556304932,1.335289478302002,0.9772915197977046
