barcodes,UMI,cell
531,250,true
532,249,true
533,249,true
534,249,true
535,249,true
536,249,true
537,249,true
538,249,true
539,248,true
540,248,true
541,248,true
542,248,true
543,248,true
544,248,true
545,248,true
546,248,true
547,248,true
548,248,true
549,247,true
550,247,true
551,247,true
552,247,true
553,247,true
554,246,true
555,246,true
556,246,true
557,246,true
558,245,true
559,245,true
560,245,true
561,245,true
562,245,true
563,245,true
564,245,true
565,245,true
566,244,true
567,244,true
568,244,true
569,244,true
570,244,true
571,244,true
572,243,true
573,243,true
574,243,true
575,243,true
576,243,true
577,242,true
578,242,true
579,242,true
580,242,true
581,241,true
582,241,true
583,241,true
584,241,true
585,241,true
586,240,true
587,240,true
588,240,true
589,240,true
590,240,true
591,240,true
592,239,true
593,239,true
594,239,true
595,239,true
596,239,true
597,239,true
598,239,true
599,239,true
600,239,true
601,238,true
602,238,true
603,238,true
604,238,true
605,238,true
606,238,true
607,238,true
608,238,true
609,238,true
610,238,true
611,238,true
612,237,true
613,237,true
614,237,true
615,237,true
616,237,true
617,237,true
618,237,true
619,236,true
620,236,true
621,236,true
622,236,true
623,236,true
624,236,true
625,236,true
626,236,true
627,236,true
628,235,true
629,235,true
630,235,true
631,235,true
632,234,true
633,234,true
634,234,true
635,234,true
636,234,true
637,234,true
638,233,true
639,233,true
640,233,true
641,233,true
642,233,true
643,233,true
644,233,true
645,232,true
646,232,true
647,232,true
648,232,true
649,232,true
650,231,true
651,231,true
652,231,true
653,231,true
654,231,true
655,231,true
656,231,true
657,231,true
658,231,true
659,231,true
660,231,true
661,230,true
662,230,true
663,230,true
664,230,true
665,230,true
666,230,true
667,229,true
668,229,true
669,228,true
670,228,true
671,228,true
672,228,true
673,227,true
674,227,true
675,227,true
676,227,true
677,227,true
678,227,true
679,226,true
680,226,true
681,226,true
682,226,true
683,225,true
684,225,true
685,225,true
686,225,true
687,225,true
688,225,true
689,225,true
690,225,true
691,224,true
692,224,true
693,224,true
694,224,true
695,224,true
696,224,true
697,223,true
698,223,true
699,223,true
700,223,true
701,223,true
702,223,true
703,223,true
704,223,true
705,222,true
706,222,true
707,222,true
708,222,true
709,222,true
710,222,true
711,221,true
712,221,true
713,221,true
714,221,true
715,221,true
716,221,true
717,220,true
718,220,true
719,219,true
720,219,true
721,219,true
722,219,true
723,219,true
724,219,true
725,219,true
726,219,true
727,219,true
728,218,true
729,218,true
730,218,true
731,218,true
732,218,true
733,218,true
734,218,true
735,218,true
736,218,true
737,218,true
738,217,true
739,217,true
740,217,true
741,217,true
742,217,true
743,217,true
744,217,true
745,217,true
746,217,true
747,217,true
748,217,true
749,216,true
750,216,true
751,216,true
752,216,true
753,216,true
754,216,true
755,215,true
756,215,true
757,215,true
758,215,true
759,215,true
760,215,true
761,215,true
762,214,true
763,214,true
764,214,true
765,214,true
766,214,true
767,213,true
768,213,true
769,213,true
770,213,true
771,213,true
772,213,true
773,213,true
774,213,true
775,212,true
776,212,true
777,212,true
778,212,true
779,212,true
780,211,true
781,211,true
782,211,true
783,211,true
784,211,true
785,211,true
786,211,true
787,211,true
788,211,true
789,211,true
790,211,true
791,211,true
792,211,true
793,211,true
794,211,true
795,210,true
796,210,true
797,210,true
798,210,true
799,209,true
800,209,true
801,209,true
802,209,true
803,208,true
804,208,true
805,208,true
806,208,true
807,208,true
808,207,true
809,207,true
810,207,true
811,207,true
812,207,true
813,207,true
814,207,true
815,207,true
816,207,true
817,206,true
818,206,true
819,205,true
820,205,true
821,204,true
822,204,true
823,204,true
824,204,true
825,204,true
826,203,true
827,203,true
828,203,true
829,203,true
830,203,true
831,203,true
832,203,true
833,203,true
834,203,true
835,203,true
836,202,true
837,202,true
838,202,true
839,202,true
840,202,true
841,202,true
842,202,true
843,202,true
844,202,true
845,201,true
846,201,true
847,201,true
848,201,true
849,201,true
850,201,true
851,201,true
852,200,noise
853,200,noise
854,200,noise
855,200,noise
856,200,noise
857,200,noise
858,200,noise
859,200,noise
860,200,noise
861,200,noise
862,200,noise
863,200,noise
864,199,noise
865,199,noise
866,199,noise
867,199,noise
868,199,noise
869,199,noise
870,198,noise
871,198,noise
872,198,noise
873,198,noise
874,198,noise
875,198,noise
876,198,noise
877,198,noise
878,198,noise
879,197,noise
880,197,noise
881,197,noise
882,197,noise
883,197,noise
884,197,noise
885,197,noise
886,197,noise
887,197,noise
888,197,noise
889,196,noise
890,196,noise
891,196,noise
892,196,noise
893,196,noise
894,196,noise
895,196,noise
896,196,noise
897,196,noise
898,196,noise
899,196,noise
900,196,noise
901,196,noise
902,196,noise
903,195,noise
904,195,noise
905,195,noise
906,195,noise
907,195,noise
908,195,noise
909,195,noise
910,194,noise
911,194,noise
912,194,noise
913,194,noise
914,194,noise
915,194,noise
916,194,noise
917,193,noise
918,193,noise
919,193,noise
920,193,noise
921,193,noise
922,192,noise
923,192,noise
924,192,noise
925,192,noise
926,192,noise
927,192,noise
928,192,noise
929,192,noise
930,192,noise
